location,target,type,bin,value
US National,1 wk ahead,point,NA,1.234
US National,1 wk ahead,bin,0.0,0.00398406374501992
US National,1 wk ahead,bin,0.1,0.00398406374501992
US National,1 wk ahead,bin,0.2,0.00398406374501992
US National,1 wk ahead,bin,0.3,0.00398406374501992
US National,1 wk ahead,bin,0.4,0.00398406374501992
US National,1 wk ahead,bin,0.5,0.00398406374501992
US National,1 wk ahead,bin,0.6,0.00398406374501992
US National,1 wk ahead,bin,0.7,0.00398406374501992
US National,1 wk ahead,bin,0.8,0.00398406374501992
US National,1 wk ahead,bin,0.9,0.00398406374501992
US National,1 wk ahead,bin,1.0,0.00398406374501992
US National,1 wk ahead,bin,1.1,0.00398406374501992
US National,1 wk ahead,bin,1.2,0.00398406374501992
US National,1 wk ahead,bin,1.3,0.00398406374501992
US National,1 wk ahead,bin,1.4,0.00398406374501992
US National,1 wk ahead,bin,1.5,0.00398406374501992
US National,1 wk ahead,bin,1.6,0.00398406374501992
US National,1 wk ahead,bin,1.7,0.00398406374501992
US National,1 wk ahead,bin,1.8,0.00398406374501992
US National,1 wk ahead,bin,1.9,0.00398406374501992
US National,1 wk ahead,bin,10.0,0.00398406374501992
US National,1 wk ahead,bin,10.1,0.00398406374501992
US National,1 wk ahead,bin,10.2,0.00398406374501992
US National,1 wk ahead,bin,10.3,0.00398406374501992
US National,1 wk ahead,bin,10.4,0.00398406374501992
US National,1 wk ahead,bin,10.5,0.00398406374501992
US National,1 wk ahead,bin,10.6,0.00398406374501992
US National,1 wk ahead,bin,10.7,0.00398406374501992
US National,1 wk ahead,bin,10.8,0.00398406374501992
US National,1 wk ahead,bin,10.9,0.00398406374501992
US National,1 wk ahead,bin,11.0,0.00398406374501992
US National,1 wk ahead,bin,11.1,0.00398406374501992
US National,1 wk ahead,bin,11.2,0.00398406374501992
US National,1 wk ahead,bin,11.3,0.00398406374501992
US National,1 wk ahead,bin,11.4,0.00398406374501992
US National,1 wk ahead,bin,11.5,0.00398406374501992
US National,1 wk ahead,bin,11.6,0.00398406374501992
US National,1 wk ahead,bin,11.7,0.00398406374501992
US National,1 wk ahead,bin,11.8,0.00398406374501992
US National,1 wk ahead,bin,11.9,0.00398406374501992
US National,1 wk ahead,bin,12.0,0.00398406374501992
US National,1 wk ahead,bin,12.1,0.00398406374501992
US National,1 wk ahead,bin,12.2,0.00398406374501992
US National,1 wk ahead,bin,12.3,0.00398406374501992
US National,1 wk ahead,bin,12.4,0.00398406374501992
US National,1 wk ahead,bin,12.5,0.00398406374501992
US National,1 wk ahead,bin,12.6,0.00398406374501992
US National,1 wk ahead,bin,12.7,0.00398406374501992
US National,1 wk ahead,bin,12.8,0.00398406374501992
US National,1 wk ahead,bin,12.9,0.00398406374501992
US National,1 wk ahead,bin,13.0,0.00398406374501992
US National,1 wk ahead,bin,13.1,0.00398406374501992
